Diff	Filename	Token Count	Text Length	Word Count	Punctuation Count	Number Count	Whitespace Count	Lines	Sentence Count	Predicted Token Count	Mistral Token Count
543	annotated-@zcl_col_116_dunn_group.clas.abap	35872	130334	11189	3873	3287	35394	3595	1281	35329	50020
21	annotated-@zcol_120_tier.fugr.lzcol_120_tieri00.abap	95	559	64	10	0	67	7	3	74	113
7	annotated-@zcol_120_blart.fugr.tableproc_zcol_120_blart.abap	127	701	81	15	6	94	12	6	120	163
-135	annotated-@zcl_log_analyser.clas.testclasses.abap	2258	8796	1219	271	5	1990	285	152	2393	2865
23	annotated-@zcol_120_range.fugr.lzcol_120_rangef00.abap	86	541	56	20	0	59	8	16	63	112
23	annotated-@zcol_120_horizon.fugr.lzcol_120_horizonf00.abap	86	541	56	20	0	59	8	16	63	112
902	annotated-@zcl_col_136_brl_extractor.clas.abap	7199	27438	2873	837	323	4709	489	278	6297	9777
-33	annotated-@zcl_col_003_compare_list.clas.testclasses.abap	481	2230	304	67	18	369	47	30	514	594
8	annotated-@zcol_120_tier.fugr.saplzcol_120_tier.abap	375	1994	188	61	36	522	26	30	367	499
-226	annotated-@zcol_120_simulate.prog.abap	5322	22033	2819	734	217	5160	545	390	5548	7055
3	annotated-@zcol_120_range.fugr.saplzcol_120_range.abap	357	1914	175	64	36	499	25	30	354	492
-59	annotated-@zcl_col_100_sender_id.clas.testclasses.abap	573	2548	346	110	25	580	58	38	632	720
-8	annotated-@zcol_120.fugr.saplzcol_120.abap	234	1382	118	45	26	345	19	24	242	328
-244	gpt-4--@zcl_col_000_tvarvc_range_desc.clas.abap	3657	15030	1981	471	138	4240	417	264	3901	4828
-154	annotated-@zcl_col_000_tvarvc.clas.abap	3199	12301	1604	637	51	2563	339	237	3353	4124
-94	annotated-@zcl_col_136_termination_letter.clas.abap	17156	68136	7778	1777	689	19091	1858	987	17250	22928
38	annotated-@zcol_120_blart.fugr.lzcol_120_blartt00.abap	301	1544	159	132	38	281	22	106	263	393
-136	annotated-@zcl_col_120.clas.testclasses.abap	843	3646	437	144	54	629	111	86	979	1172
-281	annotated-@zcol_120.prog.abap	8306	35598	4334	1084	331	10060	816	527	8587	10945
24	annotated-@zcol_120_range.fugr.lzcol_120_ranget00.abap	308	1683	184	134	28	306	24	106	284	399
2	annotated-@zcol_116_dun_correspond.fugr.zcol_116_dunning_0704.abap	792	3545	386	82	50	874	69	30	790	1047
40	annotated-@zcol_120.fugr.zcol_120_get_table_as_jsongzip.abap	2078	7471	991	295	66	1856	212	112	2038	2735
-102	annotated-@zcol_120_legacy_logic.fugr.zcol_120_legacy_z201.abap	1737	7371	840	159	99	1631	182	65	1839	2243
-48	annotated-@zcl_col_000_tvarvc.clas.testclasses.abap	756	3422	433	100	24	588	77	48	804	975
21	annotated-@zcol_120_blart.fugr.lzcol_120_blarti00.abap	95	559	64	10	0	67	7	3	74	113
32	annotated-@zcol_120_horizon.fugr.lzcol_120_horizontop.abap	173	847	104	29	14	181	9	12	141	218
47	annotated-@zcl_log_analyser.clas.abap	2074	8180	1024	279	30	1685	218	160	2027	2695
4	annotated-@zcol_120_blart.fugr.tableframe_zcol_120_blart.abap	244	1306	144	31	9	206	18	8	240	301
0	annotated-@zcol_116_dunn_harmoni.fugr.zcol_116_wli_dun_data_store.abap	711	3294	315	49	59	854	61	12	711	936
-68	annotated-@zcl_col_000_ztvarvc.clas.abap	2809	11929	1555	354	20	2563	301	215	2877	3678
-179	annotated-@zcl_col_000_tvarvc_range_desc.clas.abap	4401	18089	2467	536	202	4727	443	288	4580	5843
